bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/04/26/00325|180673407.60|180673407.60|.00|180673407.60|180673408.00|.00|180673408.00|-.40
BYM/04/26/00326|28938481.25|28938481.25|.00|28938481.25|28938482.00|.00|28938482.00|-.75
BYM/04/26/00352|46751468.40|46751468.00|.40|46751468.40|46751468.00|.00|46751468.00|.40
BYM/04/26/00353|182800090.90|182800090.90|.00|182800090.90|182800091.00|.00|182800091.00|-.10
BYM/10/25/00019|156692833.08|156692833.00|.08|156692833.08|156692833.00|.00|156692833.00|.08
BYM/10/25/00025|156824894.09|156824894.00|.09|156824894.09|156824894.00|.00|156824894.00|.09
BYM/10/25/00036|83212909.61|83212909.00|.61|83212909.61|83212909.00|.00|83212909.00|.61
BYM/11/25/00001|116016835.48|116016835.00|.48|116016835.48|116016835.00|.00|116016835.00|.48
BYM/11/25/00034|41507961.25|41507961.00|.25|41507961.25|41507961.00|.00|41507961.00|.25
BYM/11/25/00071|120051068.20|120051068.00|.20|120051068.20|120051068.00|.00|120051068.00|.20
BYM/11/25/00108|58601833.43|58601833.00|.43|58601833.43|58601833.00|.00|58601833.00|.43
BYM/11/25/00116|65867985.40|65867985.00|.40|65867985.40|65867985.00|.00|65867985.00|.40
BYM/11/25/00156|66623418.40|66623418.00|.40|66623418.40|66623418.00|.00|66623418.00|.40
BYM/11/25/00189|126966825.30|126966825.00|.30|126966825.30|126966825.00|.00|126966825.00|.30
BYM/11/25/00204|44959881.40|44959881.00|.40|44959881.40|44959881.00|.00|44959881.00|.40
BYM/11/25/00222|256667365.01|256667365.00|.01|256667365.01|256667365.00|.00|256667365.00|.01
BYM/11/25/00240|100466654.12|100466654.00|.12|100466654.12|100466654.00|.00|100466654.00|.12
BYM/12/25/00015|102473338.38|102473338.00|.38|102473338.38|102473338.00|.00|102473338.00|.38
BYM/12/25/00030|83057596.02|83057596.00|.02|83057596.02|83057596.00|.00|83057596.00|.02
BYM/12/25/00140|337305703.22|337305703.00|.22|337305703.22|337305703.00|.00|337305703.00|.22
BYM/12/25/00147|152497952.39|152497952.00|.39|152497952.39|152497952.00|.00|152497952.00|.39
BYM/12/25/00177|173997467.04|173997467.00|.04|173997467.04|173997467.00|.00|173997467.00|.04
BYM/12/25/00179|119608339.12|119608339.00|.12|119608339.12|119608339.00|.00|119608339.00|.12
BYM/12/25/00180|49982136.40|49982136.00|.40|49982136.40|49982136.00|.00|49982136.00|.40
BYM/12/25/00186|101446493.65|101446493.00|.65|101446493.65|101446493.00|.00|101446493.00|.65
BYM/12/25/00187|86190597.55|86190597.00|.55|86190597.55|86190597.00|.00|86190597.00|.55
BYM/12/25/00263|107394968.04|107394968.00|.04|107394968.04|107394968.00|.00|107394968.00|.04
BYM/12/25/00267|30652465.48|30652465.00|.48|30652465.48|30652465.00|.00|30652465.00|.48
